playlist_name,playlist_uri,playlist_tracks_url,playlist_num_tracks,snapshot_id,playlist_img,track_name,track_uri,artist_name,album_name,album_img,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,key_mode
Só as poderosas - Jovem guarda,6IlwuL4aXcG7XhGmNCdX1o,https://api.spotify.com/v1/users/ivynasantino/playlists/6IlwuL4aXcG7XhGmNCdX1o/tracks,17,xIcKSADq83zxyoT4FbMWIV+Ub/yQyUcuEaqCJsTZqbD9oOP7U3EKOakqHLNwxrx5,https://mosaic.scdn.co/640/1646a63f369fb22e2f325d38758c63fbd471eb391fca80a672ad62d67c9d43563b1ac7fc4e77cf5d88aebf490f9256c042c1158233a09f0bd1e757cff7447af43e78dfefd69344cec34361ab03d05488,Pare o Casamento (Stop The Wedding),6jIXbhXH68WuTHkVYowty1,Wanderlea,A Ternura de Wanderlea,https://i.scdn.co/image/1646a63f369fb22e2f325d38758c63fbd471eb39,35,0.478,0.808,E,-4.73,major,0.0355,0.563,2.23e-5,0.331,0.467,127.107,157133,4,E major
Só as poderosas - Jovem guarda,6IlwuL4aXcG7XhGmNCdX1o,https://api.spotify.com/v1/users/ivynasantino/playlists/6IlwuL4aXcG7XhGmNCdX1o/tracks,17,xIcKSADq83zxyoT4FbMWIV+Ub/yQyUcuEaqCJsTZqbD9oOP7U3EKOakqHLNwxrx5,https://mosaic.scdn.co/640/1646a63f369fb22e2f325d38758c63fbd471eb391fca80a672ad62d67c9d43563b1ac7fc4e77cf5d88aebf490f9256c042c1158233a09f0bd1e757cff7447af43e78dfefd69344cec34361ab03d05488,Ternura (Somehow It Got To Be Tomorrow) (Today),6OV6jsagf4SHOAqDDigIb3,Wanderlea,É Tempo do Amor,https://i.scdn.co/image/f7447af43e78dfefd69344cec34361ab03d05488,10,0.462,0.481,C,-6.626,minor,0.0269,0.703,1.91e-6,0.217,0.457,103.662,174600,4,C minor
Só as poderosas - Jovem guarda,6IlwuL4aXcG7XhGmNCdX1o,https://api.spotify.com/v1/users/ivynasantino/playlists/6IlwuL4aXcG7XhGmNCdX1o/tracks,17,xIcKSADq83zxyoT4FbMWIV+Ub/yQyUcuEaqCJsTZqbD9oOP7U3EKOakqHLNwxrx5,https://mosaic.scdn.co/640/1646a63f369fb22e2f325d38758c63fbd471eb391fca80a672ad62d67c9d43563b1ac7fc4e77cf5d88aebf490f9256c042c1158233a09f0bd1e757cff7447af43e78dfefd69344cec34361ab03d05488,Foi Assim (Juventude e Ternura),1qVemM8N6TrFpOtsN9caJX,Wanderlea,A Ternura de Wanderlea,https://i.scdn.co/image/1646a63f369fb22e2f325d38758c63fbd471eb39,11,0.43,0.56,C#,-6.568,minor,0.0274,0.144,2.2e-6,0.171,0.321,83.744,171467,4,C# minor
Só as poderosas - Jovem guarda,6IlwuL4aXcG7XhGmNCdX1o,https://api.spotify.com/v1/users/ivynasantino/playlists/6IlwuL4aXcG7XhGmNCdX1o/tracks,17,xIcKSADq83zxyoT4FbMWIV+Ub/yQyUcuEaqCJsTZqbD9oOP7U3EKOakqHLNwxrx5,https://mosaic.scdn.co/640/1646a63f369fb22e2f325d38758c63fbd471eb391fca80a672ad62d67c9d43563b1ac7fc4e77cf5d88aebf490f9256c042c1158233a09f0bd1e757cff7447af43e78dfefd69344cec34361ab03d05488,Prova de Fogo,3gNJ2ifazNZEZ2jNnBA0F2,Wanderlea,Wanderléa,https://i.scdn.co/image/88aebf490f9256c042c1158233a09f0bd1e757cf,14,0.585,0.929,F,-4.603,major,0.0319,0.0986,4.81e-5,0.133,0.967,145.349,161400,4,F major
Só as poderosas - Jovem guarda,6IlwuL4aXcG7XhGmNCdX1o,https://api.spotify.com/v1/users/ivynasantino/playlists/6IlwuL4aXcG7XhGmNCdX1o/tracks,17,xIcKSADq83zxyoT4FbMWIV+Ub/yQyUcuEaqCJsTZqbD9oOP7U3EKOakqHLNwxrx5,https://mosaic.scdn.co/640/1646a63f369fb22e2f325d38758c63fbd471eb391fca80a672ad62d67c9d43563b1ac7fc4e77cf5d88aebf490f9256c042c1158233a09f0bd1e757cff7447af43e78dfefd69344cec34361ab03d05488,Te Amo,31kLHgz7oFt2KXh0pwBo4y,Wanderlea,Wanderléa,https://i.scdn.co/image/88aebf490f9256c042c1158233a09f0bd1e757cf,4,0.508,0.764,C,-6.931,major,0.0292,0.271,2.56e-4,0.244,0.425,95.319,163067,3,C major
Só as poderosas - Jovem guarda,6IlwuL4aXcG7XhGmNCdX1o,https://api.spotify.com/v1/users/ivynasantino/playlists/6IlwuL4aXcG7XhGmNCdX1o/tracks,17,xIcKSADq83zxyoT4FbMWIV+Ub/yQyUcuEaqCJsTZqbD9oOP7U3EKOakqHLNwxrx5,https://mosaic.scdn.co/640/1646a63f369fb22e2f325d38758c63fbd471eb391fca80a672ad62d67c9d43563b1ac7fc4e77cf5d88aebf490f9256c042c1158233a09f0bd1e757cff7447af43e78dfefd69344cec34361ab03d05488,Vou Lhe Deixar,3EJXkw52QP0maPvg6g96xo,Wanderlea,Wanderléa,https://i.scdn.co/image/88aebf490f9256c042c1158233a09f0bd1e757cf,1,0.463,0.798,G#,-4.32,major,0.0349,0.656,0,0.167,0.93,71.957,141293,4,G# major
Só as poderosas - Jovem guarda,6IlwuL4aXcG7XhGmNCdX1o,https://api.spotify.com/v1/users/ivynasantino/playlists/6IlwuL4aXcG7XhGmNCdX1o/tracks,17,xIcKSADq83zxyoT4FbMWIV+Ub/yQyUcuEaqCJsTZqbD9oOP7U3EKOakqHLNwxrx5,https://mosaic.scdn.co/640/1646a63f369fb22e2f325d38758c63fbd471eb391fca80a672ad62d67c9d43563b1ac7fc4e77cf5d88aebf490f9256c042c1158233a09f0bd1e757cff7447af43e78dfefd69344cec34361ab03d05488,Banho De Lua (Tintarella Di Luna) - 1994 - Remaster;,3w2NL0NxtnSou5UcN5eb5c,Celly Campello,Broto Certinho,https://i.scdn.co/image/1fca80a672ad62d67c9d43563b1ac7fc4e77cf5d,34,0.747,0.62,F,-9.373,major,0.118,0.523,2.66e-5,0.174,0.877,146.33,178213,4,F major
Só as poderosas - Jovem guarda,6IlwuL4aXcG7XhGmNCdX1o,https://api.spotify.com/v1/users/ivynasantino/playlists/6IlwuL4aXcG7XhGmNCdX1o/tracks,17,xIcKSADq83zxyoT4FbMWIV+Ub/yQyUcuEaqCJsTZqbD9oOP7U3EKOakqHLNwxrx5,https://mosaic.scdn.co/640/1646a63f369fb22e2f325d38758c63fbd471eb391fca80a672ad62d67c9d43563b1ac7fc4e77cf5d88aebf490f9256c042c1158233a09f0bd1e757cff7447af43e78dfefd69344cec34361ab03d05488,Estúpido Cupido (Stupid Cupid),0i0SufEigMBFeYfo5syKiF,Celly Campello,Estupido Cupido (Come Rock With Me),https://i.scdn.co/image/59baad0a7929778e2c890a63b8450f1b5c063868,29,0.604,0.65,F,-8.363,major,0.113,0.615,3.65e-6,0.309,0.892,138.058,128333,4,F major
Só as poderosas - Jovem guarda,6IlwuL4aXcG7XhGmNCdX1o,https://api.spotify.com/v1/users/ivynasantino/playlists/6IlwuL4aXcG7XhGmNCdX1o/tracks,17,xIcKSADq83zxyoT4FbMWIV+Ub/yQyUcuEaqCJsTZqbD9oOP7U3EKOakqHLNwxrx5,https://mosaic.scdn.co/640/1646a63f369fb22e2f325d38758c63fbd471eb391fca80a672ad62d67c9d43563b1ac7fc4e77cf5d88aebf490f9256c042c1158233a09f0bd1e757cff7447af43e78dfefd69344cec34361ab03d05488,Lacinhos Cor de Rosa,28a9MwzWyy9e1timxL5viU,Celly Campello,South American Rock Vol. 3,https://i.scdn.co/image/04d2e0744761da19db8777edbfc6045a7380e66b,17,0.698,0.812,A#,-2.154,major,0.0557,0.792,0,0.241,0.93,85.272,143047,4,A# major
Só as poderosas - Jovem guarda,6IlwuL4aXcG7XhGmNCdX1o,https://api.spotify.com/v1/users/ivynasantino/playlists/6IlwuL4aXcG7XhGmNCdX1o/tracks,17,xIcKSADq83zxyoT4FbMWIV+Ub/yQyUcuEaqCJsTZqbD9oOP7U3EKOakqHLNwxrx5,https://mosaic.scdn.co/640/1646a63f369fb22e2f325d38758c63fbd471eb391fca80a672ad62d67c9d43563b1ac7fc4e77cf5d88aebf490f9256c042c1158233a09f0bd1e757cff7447af43e78dfefd69344cec34361ab03d05488,Broto Certinho (One Woman Man) - 1994 - Remaster;,17fO3Tn0moWsNSGjVBcCu0,Celly Campello,Anos 60,https://i.scdn.co/image/3cdc47659ac7f7472544882f2180ae6d23bb217c,19,0.844,0.433,G,-9.617,minor,0.201,0.873,0,0.171,0.859,85.341,143173,4,G minor
Só as poderosas - Jovem guarda,6IlwuL4aXcG7XhGmNCdX1o,https://api.spotify.com/v1/users/ivynasantino/playlists/6IlwuL4aXcG7XhGmNCdX1o/tracks,17,xIcKSADq83zxyoT4FbMWIV+Ub/yQyUcuEaqCJsTZqbD9oOP7U3EKOakqHLNwxrx5,https://mosaic.scdn.co/640/1646a63f369fb22e2f325d38758c63fbd471eb391fca80a672ad62d67c9d43563b1ac7fc4e77cf5d88aebf490f9256c042c1158233a09f0bd1e757cff7447af43e78dfefd69344cec34361ab03d05488,"Tunel Do Amor (Have Lips, Will Kiss In The Tunnel Of Love)",2L9JdHmqqJxa5yXaWnQm6v,Celly Campello,Anos 60,https://i.scdn.co/image/3cdc47659ac7f7472544882f2180ae6d23bb217c,15,0.65,0.412,G,-8.36,major,0.0521,0.866,2.3e-6,0.0486,0.678,84.743,114827,4,G major
Só as poderosas - Jovem guarda,6IlwuL4aXcG7XhGmNCdX1o,https://api.spotify.com/v1/users/ivynasantino/playlists/6IlwuL4aXcG7XhGmNCdX1o/tracks,17,xIcKSADq83zxyoT4FbMWIV+Ub/yQyUcuEaqCJsTZqbD9oOP7U3EKOakqHLNwxrx5,https://mosaic.scdn.co/640/1646a63f369fb22e2f325d38758c63fbd471eb391fca80a672ad62d67c9d43563b1ac7fc4e77cf5d88aebf490f9256c042c1158233a09f0bd1e757cff7447af43e78dfefd69344cec34361ab03d05488,Mar de Rosas (Rose Garden),2qj8q0FuDZhtS4V7OxhyrV,Celly Campello,Mar de Rosas (1970-1976),https://i.scdn.co/image/1116bf27c5b783d52e30486e190f48150377a7b9,6,0.628,0.47,D,-9.705,major,0.0312,0.378,0,0.37,0.965,132.199,176267,4,D major
Só as poderosas - Jovem guarda,6IlwuL4aXcG7XhGmNCdX1o,https://api.spotify.com/v1/users/ivynasantino/playlists/6IlwuL4aXcG7XhGmNCdX1o/tracks,17,xIcKSADq83zxyoT4FbMWIV+Ub/yQyUcuEaqCJsTZqbD9oOP7U3EKOakqHLNwxrx5,https://mosaic.scdn.co/640/1646a63f369fb22e2f325d38758c63fbd471eb391fca80a672ad62d67c9d43563b1ac7fc4e77cf5d88aebf490f9256c042c1158233a09f0bd1e757cff7447af43e78dfefd69344cec34361ab03d05488,Porque Brigamos (I Am... I Said),0glNhOhFDwAPKJ9tm6hfFV,Diana,Porque Brigamos,https://i.scdn.co/image/62c53cfbc465d8ebc32846ca771e113325bbac7d,35,0.62,0.369,F#,-10.905,major,0.0297,0.74,0,0.124,0.883,100.613,188560,4,F# major
Só as poderosas - Jovem guarda,6IlwuL4aXcG7XhGmNCdX1o,https://api.spotify.com/v1/users/ivynasantino/playlists/6IlwuL4aXcG7XhGmNCdX1o/tracks,17,xIcKSADq83zxyoT4FbMWIV+Ub/yQyUcuEaqCJsTZqbD9oOP7U3EKOakqHLNwxrx5,https://mosaic.scdn.co/640/1646a63f369fb22e2f325d38758c63fbd471eb391fca80a672ad62d67c9d43563b1ac7fc4e77cf5d88aebf490f9256c042c1158233a09f0bd1e757cff7447af43e78dfefd69344cec34361ab03d05488,Foi Tudo Culpa do Amor - Ao Vivo,2U81hfbHpD4pg1574u2RJp,Diana,Diana ao Vivo,https://i.scdn.co/image/c615919ccb7cf4d8dd33e9568f7517a557d98c02,15,0.305,0.721,A,-10.331,major,0.0328,0.316,1.63e-6,0.84,0.518,104.682,198e3,4,A major
Só as poderosas - Jovem guarda,6IlwuL4aXcG7XhGmNCdX1o,https://api.spotify.com/v1/users/ivynasantino/playlists/6IlwuL4aXcG7XhGmNCdX1o/tracks,17,xIcKSADq83zxyoT4FbMWIV+Ub/yQyUcuEaqCJsTZqbD9oOP7U3EKOakqHLNwxrx5,https://mosaic.scdn.co/640/1646a63f369fb22e2f325d38758c63fbd471eb391fca80a672ad62d67c9d43563b1ac7fc4e77cf5d88aebf490f9256c042c1158233a09f0bd1e757cff7447af43e78dfefd69344cec34361ab03d05488,Canção dos Namorados (El Vale de las Mariposas),4qsf8XNXE0CH2SEfswReXO,Diana,Porque Brigamos,https://i.scdn.co/image/62c53cfbc465d8ebc32846ca771e113325bbac7d,24,0.524,0.606,F#,-9.04,major,0.0454,0.559,1.19e-6,0.362,0.85,178.464,157960,3,F# major
Só as poderosas - Jovem guarda,6IlwuL4aXcG7XhGmNCdX1o,https://api.spotify.com/v1/users/ivynasantino/playlists/6IlwuL4aXcG7XhGmNCdX1o/tracks,17,xIcKSADq83zxyoT4FbMWIV+Ub/yQyUcuEaqCJsTZqbD9oOP7U3EKOakqHLNwxrx5,https://mosaic.scdn.co/640/1646a63f369fb22e2f325d38758c63fbd471eb391fca80a672ad62d67c9d43563b1ac7fc4e77cf5d88aebf490f9256c042c1158233a09f0bd1e757cff7447af43e78dfefd69344cec34361ab03d05488,Fatalidade (Fatalitá),1oNjQbnF0Dmv60XdPtA6UC,Diana,Porque Brigamos,https://i.scdn.co/image/62c53cfbc465d8ebc32846ca771e113325bbac7d,23,0.501,0.374,D#,-9.083,major,0.0308,0.689,0,0.149,0.853,109.439,183240,4,D# major
Só as poderosas - Jovem guarda,6IlwuL4aXcG7XhGmNCdX1o,https://api.spotify.com/v1/users/ivynasantino/playlists/6IlwuL4aXcG7XhGmNCdX1o/tracks,17,xIcKSADq83zxyoT4FbMWIV+Ub/yQyUcuEaqCJsTZqbD9oOP7U3EKOakqHLNwxrx5,https://mosaic.scdn.co/640/1646a63f369fb22e2f325d38758c63fbd471eb391fca80a672ad62d67c9d43563b1ac7fc4e77cf5d88aebf490f9256c042c1158233a09f0bd1e757cff7447af43e78dfefd69344cec34361ab03d05488,Meu Lamento (Voy A Guardar Mi Lamento),42cUS1MgAOHodzAOEYTzV9,Diana,Porque Brigamos,https://i.scdn.co/image/62c53cfbc465d8ebc32846ca771e113325bbac7d,21,0.586,0.608,G#,-8.778,minor,0.0375,0.27,0.00278,0.119,0.859,137.235,162333,4,G# minor
